Tempo,Corpos,Cores,Movimento,Nucleos
0.150269, 200 ,4, 100,Quatro
0.147986, 200 ,4, 100,Quatro
0.144201, 200 ,4, 100,Quatro
0.146337, 200 ,4, 100,Quatro
0.140445, 200 ,4, 100,Quatro
0.137657, 200 ,4, 100,Quatro
0.173743, 200 ,4, 100,Quatro
0.188888, 200 ,4, 100,Quatro
0.147066, 200 ,4, 100,Quatro
0.154149, 200 ,4, 100,Quatro
0.137398, 200 ,4, 100,Quatro
0.144022, 200 ,4, 100,Quatro
0.140592, 200 ,4, 100,Quatro
0.139325, 200 ,4, 100,Quatro
0.14399, 200 ,4, 100,Quatro
0.137496, 200 ,4, 100,Quatro
0.147272, 200 ,4, 100,Quatro
0.140167, 200 ,4, 100,Quatro
0.137832, 200 ,4, 100,Quatro
0.135564, 200 ,4, 100,Quatro
0.13746, 200 ,4, 100,Quatro
0.146404, 200 ,4, 100,Quatro
0.157745, 200 ,4, 100,Quatro
0.141166, 200 ,4, 100,Quatro
0.139169, 200 ,4, 100,Quatro
0.133296, 200 ,4, 100,Quatro
0.154506, 200 ,4, 100,Quatro
0.135661, 200 ,4, 100,Quatro
0.12497, 200 ,4, 100,Quatro
0.145325, 200 ,4, 100,Quatro
0.145211, 200 ,4, 100,Quatro
0.149885, 200 ,4, 100,Quatro
0.15137, 200 ,4, 100,Quatro
0.150282, 200 ,4, 100,Quatro
0.142113, 200 ,4, 100,Quatro
0.137791, 200 ,4, 100,Quatro
0.141308, 200 ,4, 100,Quatro
0.137188, 200 ,4, 100,Quatro
0.148788, 200 ,4, 100,Quatro
0.14222, 200 ,4, 100,Quatro
0.207001, 300 ,4, 100,Quatro
0.208171, 300 ,4, 100,Quatro
0.195467, 300 ,4, 100,Quatro
0.20308, 300 ,4, 100,Quatro
0.205776, 300 ,4, 100,Quatro
0.214895, 300 ,4, 100,Quatro
0.203612, 300 ,4, 100,Quatro
0.217316, 300 ,4, 100,Quatro
0.205112, 300 ,4, 100,Quatro
0.20805, 300 ,4, 100,Quatro
0.19801, 300 ,4, 100,Quatro
0.209186, 300 ,4, 100,Quatro
0.207563, 300 ,4, 100,Quatro
0.20214, 300 ,4, 100,Quatro
0.212624, 300 ,4, 100,Quatro
0.215748, 300 ,4, 100,Quatro
0.201381, 300 ,4, 100,Quatro
0.18175, 300 ,4, 100,Quatro
0.21346, 300 ,4, 100,Quatro
0.205327, 300 ,4, 100,Quatro
0.20153, 300 ,4, 100,Quatro
0.21786, 300 ,4, 100,Quatro
0.215403, 300 ,4, 100,Quatro
0.219455, 300 ,4, 100,Quatro
0.210444, 300 ,4, 100,Quatro
0.220278, 300 ,4, 100,Quatro
0.210511, 300 ,4, 100,Quatro
0.217423, 300 ,4, 100,Quatro
0.208712, 300 ,4, 100,Quatro
0.20779, 300 ,4, 100,Quatro
0.210419, 300 ,4, 100,Quatro
